txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,part1,part2,part3,part4,part5,part6
0xbbda3d24e5ba7d84eff9ed1f2db18e915fd2e69d57ba8d7377a95ea8b24eaf54,2544427,Beast,2,"0,00092","1,69",2023-06-09 20:12:50,eyes-clear,ears-innocent-lamb,back-ronin,mouth-nut-cracker,horn-imp,tail-shiba
0xba25e3c66c31eda61a6615d40044fab612755a600c2f8aa89206a72cfa16fb54,11675627,Beast,0,"0,005","9,2",2023-06-09 20:12:44,eyes-topaz,ears-earwing,back-tri-feather,mouth-piranha,horn-oranda,tail-granmas-fan
0x686cf6000d053ba16a927b603f7093ea4e62505baf293062cd766ba39fdd61db,7124524,Aquatic,5,"0,0147","27,06",2023-06-09 20:11:47,eyes-gero,ears-seaslug,back-goldfish,mouth-risky-fish,horn-oranda,tail-koi
0x1d407546afc18f6c4f7710807dba67d8814fb265112fa3924f22f07dbefd6aec,9423611,Plant,4,"0,00065","1,2",2023-06-09 20:16:35,eyes-confused,ears-sakura,back-pumpkin,mouth-serious,horn-cactus,tail-hot-butt
0x48e2eca30f425a67d221973630827a4b4d4c162f3384ea816ffca5a1cd12d01d,11322535,Dusk,0,"0,0006989","1,29",2023-06-09 20:16:32,eyes-neo,ears-rosa,back-sandal,mouth-goda,horn-dual-blade,tail-cattail
0x5c3d43eff4a29f47197369bc932585b1778c3e72a3b5b7c2615588c4483a7dd9,377670,Beast,3,"0,0014","2,58",2023-06-09 20:15:56,eyes-chubby,ears-puppy,back-ronin,mouth-confident,horn-imp,tail-nut-cracker
0x2b1f06389db794e48997c176fa49fee9753272cfbb6737b47581f5b541eb1111,959854,Plant,3,"0,0009","1,66",2023-06-09 20:15:23,eyes-lucas,ears-hollow,back-pumpkin,mouth-serious,horn-cactus,tail-snake-jar
0xd9ef89b12695d1007369b5de08c7929d64b004d232392fc0adeac49e75e854c2,11751206,Beast,0,"0,05838915","107,48",2023-06-09 20:14:41,eyes-topaz,ears-innocent-lamb,back-ronin,mouth-axie-kiss,horn-imp,tail-cottontail
0x1aacdad67e0e253213fb1c054f4ad6c42059594e0320489e50dad250b6711313,4373921,Plant,0,"0,0005","0,92",2023-06-09 20:14:32,eyes-confused,ears-hollow,back-pumpkin,mouth-serious,horn-leaf-bug,tail-carrot
0x7f8255981fd5db5361b11d483b63cda5d0fa5e0cd6ff60a9b268c07f4a6e5261,6921606,Plant,0,"0,00068","1,25",2023-06-09 20:14:26,eyes-papi,ears-hollow,back-pumpkin,mouth-serious,horn-watermelon,tail-yam
0x8201a7ccb1a2fed3a641d8a96bc23cb2cdc701b45dbdca064a20838639423593,11758603,Dawn,0,"0,02","36,82",2023-06-09 20:14:20,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-piranha,horn-bumpy,tail-nimo
0x110921e13aa2902fb74c5cb24cd4326928c0adba0b5e118c515e3a422806ec47,8517553,Plant,0,"0,00117613","2,17",2023-06-09 20:13:56,eyes-papi,ears-rosa,back-bidens,mouth-serious,horn-beech,tail-yam
0x69ca120163f049f60a261e987ba1e9f2c0c773c5914a118ffbd450b4fa809600,11762880,Mech,0,"0,011","20,25",2023-06-09 20:13:32,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-hungry-bird,horn-bumpy,tail-nimo
0x43779f6bfe3c2cba33069dcff740f6b01cfb4d7b7c093ebc9ae93a17c4e73275,11735850,Reptile,4,"0,01449","26,67",2023-06-09 20:13:11,eyes-chubby,ears-small-frill,back-green-thorns,mouth-tiny-turtle,horn-dual-blade,tail-yam
0x43c1e7b7a132fd93eda25cdefac4004cc746ad58d3c11b1101c684155d0f6a5a,8517473,Plant,0,"0,00068","1,25",2023-06-09 20:13:02,eyes-papi,ears-hollow,back-pumpkin,mouth-serious,horn-cactus,tail-yam
0xcb6674062454a05e6e9e64b77dbc36c71a51188b5805d8c2de85864aff6bd42f,11662679,Dusk,2,"0,0023","4,23",2023-06-09 20:13:02,eyes-gecko,ears-small-frill,back-jaguar,mouth-silence-whisper,horn-scaly-spoon,tail-snake-jar
0xce7095eed974424819b91cfebbf9f92e4598c5867e216a8dd3ea36ab67af8fda,8229970,Aquatic,3,"0,002","3,68",2023-06-09 20:17:47,eyes-clear,ears-hollow,back-snail-shell,mouth-cute-bunny,horn-antenna,tail-fish-snack
0x23360f960549cc8c01d908c6739a0558f17825fb28a47547f84b485cc29206c8,3952954,Plant,0,"0,00069999","1,29",2023-06-09 20:17:08,eyes-confused,ears-hollow,back-pumpkin,mouth-serious,horn-cactus,tail-hare
0x80975f1c44aa1d5f72bd25c58803c8cdb3a980849ccd42f66544ab41e500d041,11760210,Mech,3,"0,011","20,25",2023-06-09 20:19:47,eyes-topaz,ears-innocent-lamb,back-goldfish,mouth-square-teeth,horn-bumpy,tail-nimo
0xed75ab6aa846a93ed075d49417a3b276ffe36b3cb9b00aced8bb32ecebf6031f,10931451,Reptile,0,"0,00081824","1,51",2023-06-09 20:18:56,eyes-scar,ears-small-frill,back-indian-star,mouth-kotaro,horn-antenna,tail-tiny-dino
0x84b7c59bf51b333201c5399311660dd566591ec27793c0b56874c971942f390a,11722144,Beast,0,"0,01","18,41",2023-06-09 20:18:53,eyes-topaz,ears-nyan,back-hero,mouth-goda,horn-imp,tail-cottontail
0xede875efb21b6d6ce6353d6da47fcc3487836cf161f66db1642a3b845bb387ab,5438436,Plant,0,"0,00068","1,25",2023-06-09 20:18:50,eyes-topaz,ears-lotus,back-watering-can,mouth-serious,horn-antenna,tail-yam
0xf969c17250b6768a79d85155ca82f51e514f81305e7ed7e21ff0cbda25e182e4,11519289,Beast,5,"0,002","3,68",2023-06-09 20:18:38,eyes-little-peas,ears-innocent-lamb,back-ronin,mouth-doubletalk,horn-dual-blade,tail-cottontail
0x67519d25a96c9f6eb16a55358305e6391d45b34df5d1062b8d4a648cc70c562f,3195286,Plant,3,"0,00084","1,55",2023-06-09 20:21:29,eyes-papi,ears-pink-cheek,back-mint,mouth-serious,horn-cactus,tail-carrot
0xb635dce5157a39abf37a8f396bcd43936e2cc5f435a9c8ff0933080fba9b5306,11695750,Aquatic,0,"0,0016","2,94",2023-06-09 20:20:41,eyes-topaz,ears-pogona,back-goldfish,mouth-confident,horn-anemone,tail-nimo
0x77ae4a73541aa08eacbe3347836636b0cd712a3287b134984346c11830577fc2,1159770,Aquatic,4,"0,0009999","1,84",2023-06-09 20:22:17,eyes-clear,ears-tiny-fan,back-goldfish,mouth-risky-fish,horn-oranda,tail-navaga
0xeb3432204ff9da65e013ee21c35bb995ab73bd0b17ad12337120ba8c85ea1ed2,11689041,Beast,0,"0,00120613","2,22",2023-06-09 20:21:32,eyes-scar,ears-earwing,back-jaguar,mouth-kotaro,horn-wing-horn,tail-granmas-fan
0x0b481954781fd55d60401983dce5afc2b0fa6b817d4879f0224d24d5b5f0cae6,11762101,Plant,4,"0,02249","41,4",2023-06-09 20:22:44,eyes-clear,ears-leafy,back-tri-feather,mouth-tiny-turtle,horn-bamboo-shoot,tail-cattail
