User ID,Name,Rank,Elo,Tier,Avatar,ended_time,axie_1,axie_2,axie_3,vstar,axie_1_rune,axie_2_rune,axie_3_rune,axie_1_eyes_charm,axie_1_mouth_charm,axie_1_ears_charm,axie_1_horn_charm,axie_1_back_charm,axie_1_tail_charm,axie_2_eyes_charm,axie_2_mouth_charm,axie_2_ears_charm,axie_2_horn_charm,axie_2_back_charm,axie_2_tail_charm,axie_3_eyes_charm,axie_3_mouth_charm,axie_3_ears_charm,axie_3_horn_charm,axie_3_back_charm,axie_3_tail_charm,Axie 1 Eyes Part ID,Axie 1 Ears Part ID,Axie 1 Horn Part ID,Axie 1 Back Part ID,Axie 1 Mouth Part ID,Axie 1 Tail Part ID,Axie 1 Class,Axie 2 Eyes Part ID,Axie 2 Ears Part ID,Axie 2 Horn Part ID,Axie 2 Back Part ID,Axie 2 Mouth Part ID,Axie 2 Tail Part ID,Axie 2 Class,Axie 3 Eyes Part ID,Axie 3 Ears Part ID,Axie 3 Horn Part ID,Axie 3 Back Part ID,Axie 3 Mouth Part ID,Axie 3 Tail Part ID,Axie 3 Class,Comp
1ed80d68-fadb-6ec0-a314-82d09be3bb60,PhuLD,1,Chick,2,s5_top20k;s5_swamp_reed,2023-09-05 10:19:31,11668404,11704281,11796298,200,rune_dusk_3012_s5_nft,rune_bird_3010_s5_nft,rune_bird_4010_s5_nft,ecard_neutral_2010_s5_nft,ecard_neutral_2017_s5_nondec,ecard_neutral_2012_s5_nft,ecard_neutral_2010_s5_nondec,ecard_bird_3013_s5_nondec,ecard_neutral_2017_s5_nft,,ecard_neutral_2010_s5_nft,ecard_bug_4011_s5_nondec,ecard_bird_2012_s5_nft,ecard_bird_3013_s5_nft,ecard_bird_4010_s5_nondec,,ecard_neutral_4011_s5,ecard_neutral_1010_s5,ecard_bird_4010_s5_nondec,ecard_bird_3012_s5_nondec,ecard_aquatic_2012_s5_nft,Telescope,Earwing,Tri Feather,Confident,Wing Horn,Cottontail,Dusk,Kotaro?,Earwing,Tri Feather,Confident,Wing Horn,Granma's Fan,Bird,Robin,Earwing,Tri Feather,Axie Kiss,Wing Horn,Ranchu,Bird,AOE
1ec9eb6f-4fc2-60d2-a60c-ccd15d4d5ffa,orprepus #0 | TGG,2,Chick,3,s2_top1k;silver_s3,2023-09-05 09:54:29,11855327,11816131,11849135,160,rune_bug_3010_s5_nft,rune_reptile_3012_s5_nft,rune_mech_3012_s5_nft,ecard_neutral_2010_s5_nft,ecard_bug_4011_s5_nondec,ecard_plant_3010_s5_nondec,,ecard_neutral_2018_s5_nondec,ecard_plant_3010_s5_nft,ecard_reptile_3013_s5_nft,,ecard_plant_3012_s5_nft,ecard_neutral_2018_s5_nft,ecard_reptile_3012_s5_nft,,ecard_beast_2011_s5_nondec,ecard_plant_2011_s5_nft,ecard_plant_3012_s5_nft,ecard_neutral_2011_s5,ecard_beast_3010_s5_nft,ecard_neutral_4010_s5_nft,Clear,Leafy,Garish Worm,Square Teeth,Bamboo Shoot,Cattail,Bug,Gecko,Leafy,Tri Spikes,Tiny Turtle,Bamboo Shoot,Cottontail,Reptile,Little Peas,Leafy,Ronin,Serious,Bamboo Shoot,Shrimp,Mech,Leafy
1ed0bb69-73d3-69f4-917c-aa5519d2762f,Meepu,3,Chick,3,filipino_flag;bronze_s4,2023-09-05 07:28:04,11769500,11765879,11784925,160,rune_neutral_3011_s5,rune_dawn_3011_s5_nft,rune_mech_3010_s5_nft,ecard_reptile_2011_s5_nft,ecard_neutral_2020_s5,ecard_neutral_2010_s5,ecard_beast_2013_s5_nondec,ecard_neutral_2020_s5,ecard_neutral_2010_s5_nondec,ecard_reptile_3012_s5_nft,ecard_neutral_2020_s5,ecard_neutral_2010_s5,,ecard_neutral_4011_s5,ecard_neutral_1010_s5,ecard_neutral_3012_s5,ecard_aquatic_2011_s5_nft,ecard_neutral_1010_s5,ecard_neutral_2011_s5,ecard_neutral_4011_s5_nondec,ecard_neutral_2010_s5_nondec,Topaz,Innocent Lamb,Timber,Square Teeth,Imp,Nimo,Aquatic,Topaz,Innocent Lamb,Furball,Zigzag,Bumpy,Nimo,Dawn,Topaz,Innocent Lamb,Goldfish,Piranha,Babylonia,Nimo,Mech,Topaz
1edf81ec-2272-664f-b5c7-74c24c1d6ba5,kenneth81,4,Chick,3,turtle_buoy;bronze_s4,2023-09-05 04:06:00,11837260,11813959,11834455,160,rune_plant_3012_s5_nft,rune_bug_3010_s5_nft,rune_aquatic_3010_s5_nft,,ecard_neutral_2010_s5_nft,ecard_plant_4011_s5_nft,ecard_plant_3010_s5_nft,ecard_neutral_2010_s5_nft,ecard_aquatic_3013_s5_nft,ecard_neutral_2010_s5_nft,ecard_reptile_2011_s5_nft,ecard_plant_3012_s5_nondec,ecard_neutral_2010_s5_nft,ecard_neutral_3012_s5_nft,,ecard_neutral_1010_s5,ecard_neutral_2010_s5_nft,ecard_plant_3012_s5_nft,ecard_neutral_2010_s5_nft,ecard_neutral_2010_s5_nft,ecard_aquatic_3013_s5_nft,Clear,Leafy,Buzz Buzz,Risky Fish,Bamboo Shoot,Nimo,Plant,Nerdy,Leafy,Hero,Toothless Bite,Bamboo Shoot,Cottontail,Bug,Clear,Leafy,Buzz Buzz,Piranha,Bamboo Shoot,Nimo,Aquatic,Leafy
1ecdf265-b095-684d-b157-504fe5f40e14,tooots,5,Chick,3,turtle_buoy;s5_serpentwood,2023-09-05 04:10:01,11841688,11838250,11786579,150,rune_bug_3010_s5_nft,rune_plant_3012_s5_nft,rune_reptile_3012_s5_nft,ecard_neutral_2010_s5,ecard_neutral_2010_s5_nft,ecard_plant_4011_s5_nondec,ecard_neutral_2010_s5,ecard_neutral_2010_s5,ecard_neutral_2010_s5,ecard_neutral_2010_s5_nft,ecard_aquatic_2011_s5_nondec,ecard_plant_4011_s5_nft,ecard_plant_3010_s5_nft,ecard_neutral_1010_s5,ecard_aquatic_3012_s5_nft,ecard_reptile_2011_s5_nft,,ecard_plant_2011_s5_nft,ecard_reptile_3013_s5_nft,ecard_reptile_3012_s5_nft,ecard_reptile_3010_s5_nondec,Sleepless,Leafy,Buzz Buzz,Peace Maker,Bamboo Shoot,Cottontail,Bug,Gero,Leafy,Buzz Buzz,Piranha,Bamboo Shoot,Shrimp,Plant,Gecko,Leafy,Tri Spikes,Tiny Turtle,Scaly Spear,Wall Gecko,Reptile,Leafy
1ec9eb7e-3244-6866-a60c-f82750afc632,Art | TRIBE | Y!,6,Chick,3,s5_top20k;s5_goldenwood,2023-09-06 03:33:18,11856392,11827519,11761722,140,rune_mech_4011_s5_nft,rune_beast_4010_s5_nft,rune_neutral_3012_s5_nft,,ecard_beast_3013_s5_nft,ecard_plant_4011_s5_nondec,ecard_neutral_2020_s5_nft,ecard_bug_4011_s5_nondec,,ecard_beast_3012_s5_nondec,ecard_neutral_2011_s5_nft,ecard_plant_3012_s5_nft,ecard_neutral_2011_s5_nft,ecard_beast_2011_s5_nft,ecard_aquatic_3012_s5_nft,ecard_neutral_2010_s5_nft,ecard_bug_2013_s5_nft,ecard_plant_3012_s5_nft,ecard_plant_2011_s5_nft,ecard_bug_2012_s5_nft,ecard_neutral_2017_s5_nft,Nerdy,Leafy,Garish Worm,Confident,Bamboo Shoot,Cottontail,Mech,Little Peas,Leafy,Ronin,Piranha,Bamboo Shoot,Shrimp,Beast,Clear,Leafy,Garish Worm,Square Teeth,Bamboo Shoot,Cattail,Aquatic,Leafy
1eddd6b3-ff07-684a-b910-dfd16c0d94d4,Unhappy | Red Cloudz,7,Chick,3,,2023-09-06 03:26:11,11769223,11837556,11802859,140,rune_neutral_3012_s5_nft,rune_beast_4010_s5_nft,rune_beast_buba_1,ecard_plant_3010_s5_nft,,ecard_neutral_1010_s5,ecard_plant_3013_s5_nft,ecard_bug_4011_s5_nondec,ecard_plant_3010_s5_nft,ecard_beast_3012_s5_nondec,ecard_beast_3012_s5_nft,,,ecard_beast_2011_s5_nft,ecard_neutral_4010_s5_nondec,ecard_beast_buba_1,ecard_beast_3012_s5_nft,ecard_plant_2011_s5_nft,,,ecard_neutral_3012_s5,Blossom,Leafy,Buzz Buzz,Serious,Bamboo Shoot,Cattail,Bug,Puppy,Leafy,Ronin,Axie Kiss,Bamboo Shoot,Shrimp,Beast,Little Peas,Leafy,Hero,Confident,Bamboo Shoot,Shrimp,Beast,Leafy
1ec9eb6f-553f-6a4d-a60c-9c0b4f5362d7,olxz,8,Chick,3,2;patrick23,2023-09-06 03:34:07,3341293,11615653,6460803,140,rune_neutral_3011_s5_nft,rune_bird_3012_s5_nft,rune_reptile_3012_s5_nft,ecard_plant_4010_s5_nondec,ecard_aquatic_2011_s5_nft,ecard_plant_2011_s5_nft,ecard_neutral_2011_s5,ecard_neutral_2017_s5,ecard_neutral_2017_s5_nft,ecard_bird_momo_1,ecard_bird_momo_1,ecard_bird_3012_s5_nondec,ecard_bird_2012_s5_nft,ecard_beast_2012_s5_nft,ecard_neutral_2012_s5,ecard_neutral_1010_s5,ecard_neutral_2018_s5_nft,ecard_reptile_3013_s5_nft,ecard_neutral_2017_s5,ecard_neutral_2012_s5,ecard_neutral_2018_s5,Confused,Hollow,Bidens,Risky Fish,Beech,Potato Leaf,Plant,Little Owl,Owl,Furball,Little Owl,Eggshell,Feather Fan,Bird,Bookworm,Pogona,Tri Spikes,Tiny Turtle,Lagging,Thorny Caterpillar,Reptile,Machine Gun Owl
1ec9eb73-7efc-634c-a60c-ca5c8e5f42d3,SKY EMPEROR,9,Chick,4,s4_top20k;bandila_celebration,2023-09-05 19:20:48,5713512,272639,414222,130,rune_neutral_3012_s5,rune_aquatic_2010_s5_nft,rune_aquatic_3010_s5_nft,ecard_neutral_2010_s5,ecard_neutral_2010_s5,ecard_aquatic_4010_s5_nondec,ecard_neutral_1010_s5,ecard_neutral_2010_s5,ecard_aquatic_3013_s5_nft,,ecard_aquatic_3010_s5_nondec,ecard_aquatic_2013_s5_nft,ecard_aquatic_4011_s5_nondec,ecard_aquatic_2013_s5_nft,ecard_neutral_1010_s5,ecard_aquatic_2011_s5_nft,ecard_aquatic_3010_s5_nft,ecard_aquatic_2013_s5_nft,,ecard_aquatic_2013_s5_nft,ecard_aquatic_3012_s5_nondec,Gero,Inkling,Goldfish,Risky Fish,Shoal Star,Nimo,Aquatic,Clear,Inkling,Goldfish,Piranha,Babylonia,Nimo,Aquatic,Sleepless,Inkling,Goldfish,Risky Fish,Shoal Star,Shrimp,Aquatic,Jinx
1ec9eb7e-3af1-67bd-a60c-dc30b673a406,T.Neko,10,Chick,4,easter_eggs;bronze_s3,2023-09-05 12:10:46,11674096,11644065,11628693,120,rune_bird_3010_s5_nft,rune_dawn_3012_s5_nft,rune_bird_3011_s5_nft,ecard_neutral_1001,ecard_bird_4011_s5_nondec,ecard_neutral_1001,ecard_neutral_2010_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_neutral_1010_s5,ecard_plant_2012_s5_nft,ecard_neutral_1003,ecard_neutral_1003,ecard_neutral_2012_s5_nft,ecard_neutral_2017_s5,ecard_neutral_1001,ecard_neutral_1011_s5,ecard_neutral_2012_s5,ecard_neutral_3012_s5_nondec,ecard_bird_2012_s5_nondec,ecard_bird_4010_s5_nondec,Kotaro?,Earwing,Tri Feather,Hungry Bird,Wing Horn,Ranchu,Bird,Mavis,Earwing,Tri Feather,Silence Whisper,Kestrel,Cottontail,Dawn,Robin,Earwing,Tri Feather,Razor Bite,Wing Horn,Granma's Fan,Bird,AOE
